nr|query|ldeepquery|steps|costs|planningtime
37|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = complete_cast.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name) movie_info_idx AS movieinfoidx)|126|259119156742.2|0.2749323844909668
38|SELECT * FROM cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id  |(((((((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|77|8916617249.4|0.1240689754486084
39|SELECT * FROM company_name, keyword, movie_companies, movie_keyword, title WHERE company_name.id = movie_companies.company_id AND movie_companies.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND movie_companies.movie_id = movie_keyword.movie_id  |((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword)|26|25987470.2|0.025441408157348633
40|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND title.id = complete_cast.movie_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_link.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info.movie_id = complete_cast.movie_id  |((((((((((comp_cast_type AS compcasttype complete_cast AS completecast) title) movie_link AS movielink) link_type AS linktype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|155|1816735.0|0.36049866676330566
41|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE title.production_year = 1998 AND link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND title.id = complete_cast.movie_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_link.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info.movie_id = complete_cast.movie_id  |((((((((((comp_cast_type AS compcasttype complete_cast AS completecast) title) movie_link AS movielink) link_type AS linktype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|155|1816735.0|0.26572155952453613
42|SELECT * FROM aka_name, cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|77|4099780617.6|0.12339568138122559
43|SELECT * FROM info_type, keyword, movie_info_idx, movie_keyword, title WHERE title.id = movie_info_idx.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info_idx.info_type_id  |((((keyword movie_keyword AS moviekeyword) title) movie_info_idx AS movieinfoidx) info_type AS infotype)|26|117554419.4|0.02878260612487793
44|SELECT * FROM cast_info, company_name, info_type, info_type AS info_type2, keyword, movie_companies, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND company_name.id = movie_companies.company_id  |(((((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|126|9544978516.2|0.2230849266052246
45|SELECT * FROM company_type, info_type, movie_companies, movie_info_idx, title WHERE company_type.id = movie_companies.company_type_id AND title.id = movie_companies.movie_id AND title.id = movie_info_idx.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND info_type.id = movie_info_idx.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info_idx AS movieinfoidx) title)|26|893072535.2|0.025113582611083984
46|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, kind_type, movie_companies, movie_info, movie_info_idx, title WHERE movie_info.movie_id = title.id AND info_type2.id = movie_info.info_type_id AND kind_type.id = title.kind_id AND movie_companies.movie_id = title.id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND movie_info_idx.movie_id = title.id AND info_type.id = movie_info_idx.info_type_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_info_idx AS movieinfoidx) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo)|77|416341802327.8|0.10306286811828613
47|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND title.id = complete_cast.movie_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_link.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info.movie_id = complete_cast.movie_id  |((((((((((comp_cast_type AS compcasttype complete_cast AS completecast) title) movie_link AS movielink) link_type AS linktype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|155|1816735.0|0.2761356830596924
48|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, movie_companies, movie_info, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_info.movie_id = cast_info.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id  |(((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname)|126|20274299956.2|0.18190288543701172
49|SELECT * FROM complete_cast, comp_cast_type, company_name, company_type, info_type, keyword, kind_type, movie_companies, movie_info, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND comp_cast_type.id = complete_cast.status_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword)|155|1747535261.3999999|0.26389217376708984
50|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = complete_cast.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name) movie_info_idx AS movieinfoidx)|126|259119156742.2|0.22470545768737793
51|SELECT * FROM aka_name, complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, company_name, info_type, info_type AS info_type2, keyword, movie_companies, movie_info, movie_keyword, name, person_info, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = complete_cast.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info.movie_id = cast_info.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = complete_cast.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id AND name.id = person_info.person_id AND cast_info.person_id = person_info.person_id AND info_type2.id = person_info.info_type_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |((((((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) char_name AS charname) name) aka_name AS akaname) person_info AS personinfo) role_type AS roletype)|301|82547238821.2|0.9142839908599854
52|SELECT * FROM info_type, info_type AS info_type2, keyword, kind_type, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id  |((((((info_type AS infotype kind_type AS kindtype) title) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|57|1460080488.4|0.07743120193481445
53|SELECT * FROM aka_name, cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|77|4099780617.6|0.0857079029083252
54|SELECT * FROM aka_title, company_name, company_type, info_type, keyword, movie_companies, movie_info, movie_keyword, title WHERE title.id = aka_title.movie_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = aka_title.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = aka_title.movie_id AND movie_companies.movie_id = aka_title.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id  |((((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) aka_title AS akatitle) company_name AS companyname) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword)|100|3423896806.2|0.1734142303466797
55|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.026291370391845703
56|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id  |(((((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|126|745633960994.8|0.18971705436706543
57|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, movie_companies, movie_info, movie_info_idx, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND movie_info.info_type_id = info_type.id AND movie_info_idx.info_type_id = info_type2.id AND title.id = movie_companies.movie_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id  |((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) title) movie_info_idx AS movieinfoidx)|57|7204225158.2|0.06417727470397949
58|SELECT * FROM aka_name, char_name, cast_info, company_name, movie_companies, name, role_type, title WHERE cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND name.id = cast_info.person_id AND char_name.id = cast_info.person_role_id AND aka_name.person_id = name.id AND aka_name.person_id = cast_info.person_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) char_name AS charname) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|77|880826755.6|0.15010714530944824
59|SELECT * FROM cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id  |(((((((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|77|8916617249.4|0.13724493980407715
60|SELECT * FROM cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id  |(((((((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|77|8916617249.4|0.1430187225341797
61|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id  |((((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|100|82670476413.0|0.2303926944732666
62|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, movie_companies, movie_info, movie_info_idx, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND movie_info.info_type_id = info_type.id AND movie_info_idx.info_type_id = info_type2.id AND title.id = movie_companies.movie_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id  |((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) title) movie_info_idx AS movieinfoidx)|57|7204225158.2|0.09087705612182617
63|SELECT * FROM aka_name, complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, company_name, info_type, info_type AS info_type2, keyword, movie_companies, movie_info, movie_keyword, name, person_info, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = complete_cast.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info.movie_id = cast_info.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = complete_cast.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id AND name.id = person_info.person_id AND cast_info.person_id = person_info.person_id AND info_type2.id = person_info.info_type_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |((((((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) char_name AS charname) name) aka_name AS akaname) person_info AS personinfo) role_type AS roletype)|301|82547238821.2|0.8582189083099365
64|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.10008645057678223
65|SELECT * FROM company_type, info_type, movie_companies, movie_info_idx, title WHERE company_type.id = movie_companies.company_type_id AND title.id = movie_companies.movie_id AND title.id = movie_info_idx.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND info_type.id = movie_info_idx.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info_idx AS movieinfoidx) title)|26|893072535.2|0.036782264709472656
66|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.062471628189086914
67|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_keyword, movie_link, title WHERE title.production_year = 1998 AND link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword)|77|5610148600.0|0.08841681480407715
